id,cty,state,pop18,pop65,hsgrad,bagrad,poverty,unemp,pcincome,region,crime_per1k,per_area,per_doc,per_bed
374,Ector,TX,27.1,9.3,66.9,11.4,16.6,6.6,14766,South,123.11870449156676,7.575630181445171,1.2864277666605008,3.2707215766727766
239,Leon,FL,38.5,8.2,84.9,37.1,9.4,3.9,16422,South,121.37064724431538,3.465061067155689,2.1455325648205386,4.275480147330033
143,Pulaski,AR,28.5,11.5,79,23.5,10.5,5.8,18225,South,121.27209289023622,2.2049991420236803,4.318480809929646,7.964880169307327
50,Baltimor,MD,30,13.7,60.7,15.5,17.8,9.4,17263,South,118.68660107008834,0.11005225444081226,7.396598434268913,8.42782881847356
282,Wyandott,KS,27.4,13,69.9,10.3,13.9,7.4,14134,North Central,116.68405424925768,0.9321390430450698,3.0495144851938045,6.290395263992888
10,Dallas,TX,32.6,8.2,77.1,26.3,10.4,6.1,21001,South,115.63948812884215,0.4749542586665659,2.5464024913509746,3.7424236699931455
89,Mecklenb,NC,32,9.4,81.6,28.3,7.2,4.8,20942,South,113.40488392418949,1.030438004587111,2.178193429051313,3.9516417595266633
192,Hinds,MS,29.5,11.2,75.2,26.4,16.7,6.3,16215,South,113.350442735251,3.415330076520686,4.2288782075215865,8.324130151980222
24,Tarrant,TX,32.2,8.3,79.9,24,8.2,6.6,18825,South,113.23362131367922,0.7383965343221922,1.4332071621045326,3.1381852708693163
22,Bexar,TX,29.5,9.9,72.7,19.7,16.2,6.7,15508,South,112.28165487593155,1.0519709058760212,2.583107388766942,3.4469551895825354
215,Atlantic,NJ,29,14.5,72.9,16.4,6.4,8.3,24035,Northeast,112.18890280706292,2.500813544513144,1.689497920446491,4.413200372670254
129,East_Bat,LA,31.5,9.2,80.5,27.5,15.1,5.4,17881,South,109.4223964430881,1.199668512647821,2.212546533194775,4.935478354665158
95,Orleans,LA,28.3,13,68.1,22.4,27.3,6.1,16578,South,109.14440030748302,0.36423054787518766,5.030808672309222,8.085515698135382
38,Hillsbor,FL,29.4,12.2,75.6,20.2,9.5,6,16876,South,107.78079117179463,1.260110256650049,2.412313830998952,3.678418903332398
73,District,DC,33.6,12.8,73.1,33.3,13.3,7.7,23603,South,106.10149942329873,0.10051079255231504,6.053715603888614,7.022573735376503
79,Travis,TX,38,7.3,83.4,34.7,10.2,4.8,18340,South,105.76033948234493,1.7158015083092328,2.1755460985033146,2.41496026245344
84,De_Kalb,GA,32.6,8.5,83.9,32.7,7.2,4.4,21005,South,104.33517698507063,0.49098906816503823,1.8980025172349988,1.6891489583886765
67,Suffolk,MA,39.2,12.1,75.4,27.7,14.4,8.7,23150,Northeast,103.64117811858908,0.08886800239792983,8.546390603489048,9.269384521302715
60,Duval,FL,30.7,10.7,76.9,18.4,9.8,6.6,17662,South,101.91523854668328,1.1501238537767602,2.2853882262385747,3.8976419489101315
259,Alachua,FL,40.1,9.3,82.7,34.6,14.4,4.2,16058,South,100.32159298662967,4.8128813409987,6.497940483270557,6.035375228529263
78,Multnoma,OR,28.4,13.6,82.9,23.7,8.9,5.1,19215,West,99.70422359120857,0.7450071674827492,4.403249258846318,5.153394406794465
369,New_Hano,NC,29,12.5,78.1,21.2,9.9,5.9,17119,South,98.86601709288018,1.6544178776894682,2.469156330018955,4.60576635296465
53,San_Fran,CA,32.2,14.5,78,35,9.7,5.6,28532,West,98.39507485921165,0.06492080352616654,6.576339267831466,5.027909039047792
163,Nueces,TX,27.3,10.1,68.9,17,17.2,7.7,15124,South,98.25344759484106,2.8714214566624876,2.0058733620704463,4.829208813477821
71,Jackson,MO,28.1,13.1,79.5,20,9.8,6.5,18611,North Central,97.5313944968037,0.9554160244586503,2.6767440685246484,5.940950552088334
47,Essex,NJ,28.6,12.7,70.1,24,11.3,7.9,24523,Northeast,97.14008887107013,0.16191085650843093,3.6121541082952326,6.220717907597731
187,Norfolk_,VA,41.7,10.5,72.7,16.8,15.1,6.4,16412,South,96.44411608205827,0.2067151809332042,4.214692855693664,5.631074650976729
160,Charlest,SC,34.1,10.1,75.5,22.4,13.8,4.9,16015,South,95.54669043753537,3.1080636797169188,4.599391944793739,6.629632014750592
74,Oklahoma,OK,28.4,12.1,79.1,22.6,11.3,6,17741,South,95.13668028104888,1.182433277574961,3.205411508461319,5.8154370083270654
243,Richmond,GA,31.1,10,70.9,17.3,14.8,4.9,15941,South,94.44494225670597,1.707788887776132,5.4396238647684205,9.419193649555394
64,Fresno,CA,28.3,10.4,66.2,16.9,16.8,12.6,16365,West,92.89127927010142,8.933467168047462,1.7798019445984208,2.5183897886110653
107,Jefferso,LA,28.1,10.2,76,18.8,11.4,5.6,17101,South,92.849526885654,0.6825694949431861,2.7592760302115074,3.6760605479293162
119,Polk,FL,23.9,18.6,68,12.9,9.4,10.1,14835,South,91.98731073407303,4.625267032083319,1.3789462778317734,3.177250099905768
176,Cumberla,NC,37.4,6.2,80.3,16.6,12.1,6.4,12923,South,91.95239031781065,2.378298842536949,1.0598544612224383,2.134277368647247
